,ticker,5 YR Open,5 YR Close,Percentage Change,Annualized % Change,eps 2019,eps 2020,eps 2021,eps 2022,eps 2023,AVG Annual EPS,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik
533,ha,26.2500,13.3300,-49.219047619047615,-9.843809523809522,4.6,-12.02,-7.61,-4.07,-6.07,-5.034000000000001,Hawaiian Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,https://static.finnhub.io/logo/e1f8d338-80e0-11ea-9ce9-00000000092a.png,https://www.hawaiianairlines.com/,B,Medium,BB,Medium,B,Medium,200,321,200,721,17-04-2022,B,Medium,1172222
534,clsk,3.4800,21.2100,509.48275862068965,101.89655172413794,-5.83,-2.42,-0.63,-0.8366,-1.44,-2.23132,CleanSpark Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/e76a9728-80d9-11ea-9ab3-00000000092a.png,https://cleanspark.com/,A,High,BB,Medium,BB,Medium,570,326,310,1206,10-06-2022,A,High,827876
535,clsd,1.3800,1.5300,10.869565217391315,2.173913043478263,-0.91,-0.39,-0.01,-0.55,-0.53,-0.47800000000000004,Clearside Biomedical Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/11294928-80d4-11ea-bfe2-00000000092a.png,http://clearsidebio.com/,B,Medium,B,Medium,B,Medium,215,230,200,645,26-07-2022,B,Medium,1539029
536,hafc,21.2700,15.9200,-25.152797367183826,-5.030559473436766,1.07,1.07,3.21,3.32,2.62,2.258,Hanmi Financial Corp,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/a38560a59c08d9820f0441540b932c2852bdac825c5ec9809f6272a278da20d4.png,https://investors.hanmi.com/,B,Medium,B,Medium,B,Medium,250,207,233,690,17-04-2022,B,Medium,1109242
537,clwt,5.4900,1.4200,-74.13479052823315,-14.82695810564663,-0.1509,0.4492,0.594,-0.373,0.2752,0.15889999999999999,Euro Tech Holdings Company Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Trading Companies and Distributors,,,B,Medium,B,Medium,B,Medium,230,201,210,641,17-04-2022,B,Medium,1026662
538,cmco,34.3500,44.6300,29.927219796215432,5.985443959243087,2.74,2.77,1.17,2.82,2.94,2.488,Columbus McKinnon Corp,USD,NASDAQ NMS - GLOBAL MARKET,Machinery,https://static.finnhub.io/logo/18ae4a40-80e0-11ea-a0be-00000000092a.png,https://www.columbusmckinnon.com/,B,Medium,BB,Medium,B,Medium,200,323,240,763,16-04-2022,BB,Medium,1005229
539,hbcp,33.2500,38.3100,15.218045112781962,3.0436090225563923,3.04,2.87,5.77,4.26,5.01,4.1899999999999995,Home Bancorp Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/3a00ecdbf3696314778776f1cf99feac118b8f15cae98dc6bd3c65e519783a19.png,https://www.home24bank.com/,B,Medium,B,Medium,B,Medium,230,202,200,632,17-04-2022,B,Medium,1436425
540,hbio,4.3100,4.2400,-1.6241299303944177,-0.3248259860788835,0.18,0.16,0.25,0.12,0.15,0.17200000000000001,Harvard Bioscience Inc,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,https://static.finnhub.io/logo/2afc8d68-80e0-11ea-a78b-00000000092a.png,https://www.harvardbioscience.com/,B,Medium,B,Medium,BB,Medium,250,221,300,771,17-04-2022,BB,Medium,1123494
541,hbnc,16.0900,12.8300,-20.261031696706027,-4.052206339341206,1.52,1.62,2.01,2.14,1.55,1.768,Horizon Bancorp Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/b81a60c122a2a1d66ce8a8259aa0c3035ddeeab3ba5202e8ece90978b4b25260.png,https://www.horizonbank.com/,B,Medium,BB,Medium,B,Medium,255,321,233,809,17-04-2022,BB,Medium,706129
542,hayn,32.8300,60.1200,83.12519037465734,16.625038074931467,0.77,-0.53,-0.71,3.58,3.27,1.2759999999999998,Haynes International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Metals and Mining,https://static.finnhub.io/logo/99f0a598-80e0-11ea-b586-00000000092a.png,https://www.haynesintl.com/,A,High,BB,Medium,BB,Medium,500,301,300,1101,17-04-2022,BBB,High,858655
